"Phylum"	"Size"	"GC"
"Proteobacteria"	4.68721	52.0975
"Proteobacteria"	4.64899	52.2
"Proteobacteria"	4.64876	52.2
"Proteobacteria"	4.64869	52.2
"Proteobacteria"	4.64937	52.2
"Proteobacteria"	4.65068	52.2
"Proteobacteria"	4.65151	52.2
"Proteobacteria"	4.32445	52.5
"Proteobacteria"	4.65098	52.2
"Proteobacteria"	4.65074	52.2
"Proteobacteria"	4.74289	52.1
"Proteobacteria"	4.64827	52.3
"Proteobacteria"	4.41939	52.3
"Proteobacteria"	4.60706	52.2
"Proteobacteria"	4.74476	52.2
"Proteobacteria"	4.64645	52.2
"Proteobacteria"	4.5761	52.3
"Proteobacteria"	4.70985	52.3
"Proteobacteria"	4.62566	52.2
"Proteobacteria"	4.65017	52.2
"Proteobacteria"	4.64872	52.2
"Proteobacteria"	4.65138	52.2
"Proteobacteria"	4.66005	52.2
"Proteobacteria"	4.65288	52.2
"Proteobacteria"	4.64876	52.2
"Proteobacteria"	4.64351	52.2
"Proteobacteria"	4.6434	52.2
"Proteobacteria"	4.64567	52.2
"Proteobacteria"	4.65313	45.6
"Proteobacteria"	4.63589	52.2
"Proteobacteria"	4.64773	52.2
"Proteobacteria"	4.63418	52.2
"Proteobacteria"	4.63694	52.2
"Proteobacteria"	4.65099	52.2
"Proteobacteria"	4.65162	52.2
"Proteobacteria"	4.65069	52.2
"Proteobacteria"	4.6506	52.2
"Proteobacteria"	4.64324	52.2
"Proteobacteria"	4.64501	52.2
"Proteobacteria"	4.63847	52.2
"Proteobacteria"	4.64248	52.2
"Proteobacteria"	4.64868	52.2
"Proteobacteria"	4.64565	52.2
"Proteobacteria"	4.59586	52.3
"Proteobacteria"	4.67126	52.2
"Proteobacteria"	4.67959	52.2
"Proteobacteria"	4.60262	52.3
"Proteobacteria"	4.55258	52.3
"Proteobacteria"	4.6737	52.2
"Proteobacteria"	4.94581	52.1
"Proteobacteria"	4.58689	52.3
"Proteobacteria"	4.52727	52.3
"Proteobacteria"	4.62641	52.2
"Proteobacteria"	5.02719	52
"Proteobacteria"	4.9727	52.1
"Proteobacteria"	4.92235	52
"Proteobacteria"	4.73527	52.1
"Proteobacteria"	4.79321	52.3
"Proteobacteria"	4.77419	52.2
"Proteobacteria"	4.64653	48.1
"Proteobacteria"	4.64295	52
"Proteobacteria"	4.64985	47.5
"Proteobacteria"	4.65109	50.1
"Proteobacteria"	4.65219	51.2
"Proteobacteria"	4.65004	47.1
"Proteobacteria"	4.63313	52.2
"Proteobacteria"	4.65299	50.3
"Proteobacteria"	4.70578	50.9
"Proteobacteria"	4.74736	50.9
"Proteobacteria"	4.71186	50.9
"Proteobacteria"	4.79828	50.9
